Name,Salary,Owner,ADP,Rank,Age,Position,Bidding Order
Emmanuel Sanders,"$5,050,000",Brooklyn Reds,40.33,38,27,WR,
Bishop Sankey,"$1,150,000",Jacksonville Bulls,70.0,64,22,RB,
Austin Seferian-Jenkins,"$1,600,000",Philadelphia Stars,101.83,101,22,TE,
Dion Sims,"$250,000",Philadelphia Stars,,,,,
Steve Smith,"$650,000",Boston Glory,221.5,222,35,WR,
CJ Spiller,"$1,150,000",Birmingham Stallions,90.83,90,27,RB,
Darren Sproles,"$550,000",St. Louis Stampede,192.0,187,31,RB,
Jonathan Stewart,"$1,450,000",Memphis Showboats,105.83,106,27,RB,
Kenny Stills,"$2,600,000",Birmingham Stallions,83.17,79,22,WR,
Devin Street,"$250,000",New Orleans Breakers,239.5,252,23,WR,
Ryan Tannehill,"$2,500,000",Miami Sun Devils,98.67,98,26,QB,
Golden Tate,"$6,050,000",Detroit Panthers,45.0,42,26,WR,
De'Anthony Thomas,"$250,000",Houston Texans,204.17,195,22,RB,
Demaryius Thomas,"$8,800,000",Boston Glory,4.83,5,27,WR,
Pierre Thomas,"$250,000",Boston Glory,191.5,185,30,RB,
Robert Turbin,"$600,000",St. Louis Stampede,,,,,
Shane Vereen,"$1,150,000",Minnesota Ice,98.33,97,25,RB,
Delanie Walker,"$800,000",New Orleans Breakers,166.33,162,30,TE,
Terrance West,"$1,100,000",New Orleans Breakers,86.5,85,23,RB,
Markus Wheaton,"$950,000",Birmingham Stallions,127.0,122,23,WR,
Roddy White,"$1,000,000",St. Louis Stampede,127.67,124,33,WR,
Andre Williams,"$1,000,000",Chicago Blitz,108.17,109,22,RB,
Albert Wilson,"$400,000",Chicago Blitz,159.67,158,22,WR,
Marquess Wilson,"$550,000",Minnesota Ice,115.5,113,22,WR,
Russell Wilson,"$4,350,000",St. Louis Stampede,42.5,41,26,QB,
Jason Witten,"$300,000",Memphis Showboats,137.17,138,32,TE,
Robert Woods,"$300,000",Memphis Showboats,128.17,125,22,WR,
Kendall Wright,"$1,200,000",Detroit Panthers,73.5,69,25,WR,
Garrett Graham,,,241.0,299,28,TE
Brandon Coleman,,,241.0,282,22,WR
Matt Asiata,,,221.83,223,27,RB
Steven Jackson,,,223.17,224,31,RB
Shonn Greene,,,241.0,297,29,RB
Jarrett Boykin,,,229.5,233,25,WR
Levine Toilolo,,,238.33,249,23,TE
Brandon Bostick,,,241.0,287,25,TE
Josh Huff,,,176.83,171,23,WR
Travaris Cadet,,,241.0,284,25,RB
Bernard Pierce,,,210.5,202,24,RB
Dexter McCluster,,,241.0,261,26,RB
Mike Glennon,,,241.0,300,25,QB
Marion Grice,,,241.0,296,22,RB
Jonas Gray,,,218.17,214,24,RB
Brian Hartline,,,239.5,253,28,WR
Kevin Norwood,,,236.17,242,25,WR
Quinton Patton,,,241.0,259,24,WR
Dwayne Bowe,,,183.5,177,30,WR
Adrien Robinson,,,241.0,275,26,TE
Toby Gerhart,,,206.33,199,27,RB
Tyler Gaffney,,,218.83,215,23,RB
Reggie Wayne,,,241.0,270,36,WR
Joseph Fauria,,,241.0,291,24,TE
Demetrius Harris,,,241.0,293,23,TE
Silas Redd,,,241.0,267,22,RB
Austin Davis,,,241.0,280,25,QB
Marlon Brown,,,217.83,213,23,WR
Shaquelle Evans,,,241.0,279,23,WR
Brian Tyms,,,236.83,246,25,WR
Kirk Cousins,,,241.0,281,26,QB
Donald Brown,,,241.0,285,27,RB
Brian Hoyer,,,241.0,277,29,QB
Tim Wright,,,183.83,178,24,TE
Ryan Grant,,,241.0,298,24,WR
Michael Vick,,,241.0,271,34,QB
Jonathan Grimes,,,241.0,294,25,RB
Jared Abbrederis,,,241.0,302,24,WR
Bobby Rainey,,,236.83,245,27,RB
Robert Herron,,,241.0,292,22,WR
James White,,,178.83,174,22,RB
Steve Johnson,,,200.67,193,28,WR
Geno Smith,,,226.83,229,24,QB
Corey Washington,,,219.17,216,23,WR
Jaron Brown,,,205.5,198,25,WR
Troy Niklas,,,240.17,255,22,TE
Danny Woodhead,,,213.67,210,29,RB
Marques Colston,,,180.67,175,31,WR
Ryan Griffin,,,241.0,295,24,TE
Derek Carrier,,,241.0,283,24,TE
Bruce Ellington,,,190.17,183,23,WR
Aaron Dobson,,,178.67,173,23,WR
Jimmy Garoppolo,,,199.33,192,23,QB
Josh Boyce,,,241.0,286,23,WR
Niles Paul,,,241.0,258,25,TE
EJ Manuel,,,229.5,234,24,QB
Danny Amendola,,,223.83,225,29,WR
Marquise Goodwin,,,237.0,247,24,WR
Chris Givens,,,241.0,301,25,WR
Jerrel Jernigan,,,241.0,266,25,WR
Jeremy Kerley,,,232.17,236,26,WR
Brandon Williams,,,241.0,269,27,TE
Jarius Wright,,,228.67,231,25,WR
Andrew Quarless,,,241.0,257,26,TE
Michael Campanaro,,,223.83,226,23,WR
Stephen Hill,,,241.0,278,23,WR
Josh Morgan,,,241.0,260,29,WR
Benjamin Cunningham,,,220.83,220,24,RB
Henry Josey,,,241.0,263,23,RB
Greg Jennings,,,201.33,194,31,WR
Wes Welker,,,211.0,203,33,WR
Rod Streater,,,217.83,212,26,WR
Lance Dunbar,,,229.33,232,24,RB
Dri Archer,,,237.67,248,23,RB
DeAngelo Williams,,,235.0,241,31,RB
Andre Roberts,,,241.0,268,27,WR
Jermaine Kearse,,,213.5,209,24,WR
Darren McFadden,,,220.83,219,27,RB
Vance McDonald,,,239.67,254,24,TE
Zac Stacy,,,156.5,153,23,RB
Chris Johnson,,,169.83,166,29,RB
Luke Willson,,,207.67,200,24,TE
Jordan Todman,,,232.67,237,24,RB
Johnny Manziel,,,193.33,189,22,QB
Storm Johnson,,,193.17,188,22,RB
Maurice Jones-Drew,,,241.0,265,29,RB
Gavin Escobar,,,189.67,182,23,TE
Jake Locker,,,241.0,262,26,QB
Stepfan Taylor,,,241.0,273,23,RB
Denarius Moore,,,236.17,243,26,WR
Frank Gore,,,214.5,211,31,RB
Logan Thomas,,,240.17,256,22,QB
Kenbrell Thompkins,,,241.0,272,26,WR
Riley Cooper,,,210.5,201,27,WR
Miles Austin,,,241.0,290,30,WR
TJ Jones,,,241.0,264,22,WR
Tom Savage,,,241.0,274,24,QB
Alan Bonner,,,241.0,288,24,WR
Trent Richardson,,,154.67,150,24,RB
Vick Ballard,,,233.5,238,24,RB
David Wilson,,,241.0,276,23,RB
