Name,Salary,Owner,ADP,Rank,Age,Position
Virgil Green,"$300,000",Oklahoma City Outlaws,,,,
Jermaine Gresham,"$250,000",Charlotte Flyers,,,,
Robert Griffin III,"$850,000",Calgary Cowboys,142.0,141,24,QB
Rob Gronkowski,"$10,100,000",Las Vegas Sabercats,7.33,8,25,TE
Brian Hartline,"$250,000",Charlotte Flyers,239.5,253,28,WR
Percy Harvin,"$3,000,000",Invaders,48.67,47,26,WR
Andrew Hawkins,"$950,000",Charlotte Flyers,191.83,186,28,WR
Roy Helu,"$1,100,000",Pittsburgh Maulers,158.0,154,26,RB
Dan Herron,"$1,050,000",b style,127.33,123,25,RB
Jeremy Hill,"$3,800,000",b style,29.33,28,22,RB
Ronnie Hillman,"$300,000",b style,171.17,167,23,RB
TY Hilton,"$7,000,000",Seattle Thunder,20.83,22,25,WR
Andre Holmes,"$250,000",Calgary Cowboys,174.67,170,26,WR
DeAndre Hopkins,"$6,750,000",Cleveland Rams,19.5,19,22,WR
Josh Huff,"$400,000",Arizona Wranglers,176.83,171,23,WR
Justin Hunter,"$800,000",San Diego Blazers,85.17,83,23,WR
Allen Hurns,"$300,000",Denver Gold,142.83,142,23,WR
Carlos Hyde,"$4,500,000",Arizona Wranglers,35.67,34,23,RB
Mark Ingram,"$3,500,000",Dallas Gamblers,60.0,59,25,RB
Dontrelle Inman,"$550,000",Las Vegas Sabercats,,,,
Chris Ivory,"$1,100,000",Invaders,154.67,149,26,RB
DeSean Jackson,"$3,000,000",San Diego Blazers,55.67,55,28,WR
Fred Jackson,"$650,000",Sharks,172.67,169,33,RB
Steven Jackson,"$310,000",San Diego Blazers,223.17,224,31,RB
Vincent Jackson,"$1,300,000",Charlotte Flyers,103.67,105,31,WR
Jeff Janis,"$450,000",Pittsburgh Maulers,144.83,144,23,WR
Alshon Jeffery,"$6,750,000",San Diego Blazers,13.5,13,24,WR
Greg Jennings,"$550,000",Charlotte Flyers,201.33,194,31,WR
Rashad Jennings,"$2,550,000",b style,131.33,129,29,RB
Andre Johnson,"$1,050,000",Calgary Cowboys,131.83,130,33,WR
Calvin Johnson,"$7,500,000",San Diego Blazers,12.0,11,29,WR
Charles Johnson,"$1,000,000",Arizona Wranglers,69.0,63,25,WR
Chris Johnson,"$250,000",Charlotte Flyers,169.83,166,29,RB
Stevie Johnson,"$250,000",i,,,,
Storm Johnson,"$250,000",Oklahoma City Outlaws,193.17,188,22,RB
James Jones,"$1,000,000",Las Vegas Sabercats,219.5,218,30,WR
Julio Jones,"$9,350,000",Calgary Cowboys,4.67,4,25,WR
Marvin Jones,"$350,000",San Diego Blazers,123.5,119,24,WR
Colin Kaepernick,"$1,000,000",Charlotte Flyers,126.5,121,27,QB
Travis Kelce,"$3,950,000",Denver Gold,48.17,45,25,TE
John Kuhn,"$250,000",Denver Gold,,,,
Brandon LaFell,"$1,200,000",Seattle Thunder,122.67,117,28,WR
Eddie Lacy,"$7,632,470",Seattle Thunder,18.17,18,24,RB
Jarvis Landry,"$2,600,000",b style,49.0,49,22,WR
Cody Latimer,"$2,500,000",Denver Gold,70.0,65,22,WR
Marqise Lee,"$800,000",San Diego Blazers,71.5,66,23,WR
Andrew Luck,"$9,150,000",Denver Gold,11.33,10,25,QB
Marshawn Lynch,"$8,700,000",Charlotte Flyers,55.17,54,28,RB
Jeremy Maclin,"$5,000,000",Sharks,37.17,35,26,WR
Eli Manning,"$1,500,000",San Diego Blazers,162.17,160,34,QB
Peyton Manning,"$4,600,000",Oklahoma City Outlaws,100.33,100,38,QB
Johnny Manziel,"$300,000",Calgary Cowboys,193.33,189,22,QB
Brandon Marshall,"$5,050,000",b style,46.5,44,30,WR
